timestamp,symbol,expiry_date,option_type,strike_price,open_interest,change_in_open_interest,p_change_in_open_interest,total_traded_volume,implied_volatility,last_price,change,p_change,total_buy_quantity,total_sell_quantity,bid_qty,bid_price,ask_qty,ask_price,underlying_value
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,15300.0,711.0,-48.0,-6.324110671936759,1233.0,44.93,1.0,-0.30000000000000004,-23.076923076923077,65350.0,22850.0,2300.0,0.95,50.0,1.0,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,15350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9600.0,9600.0,1500.0,2381.45,1500.0,2652.05,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,15350.0,63.0,63.0,0.0,131.0,45.16,1.25,-149.45,-99.17053749170537,36400.0,6350.0,450.0,1.2,1800.0,1.3,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,15400.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9600.0,9600.0,1500.0,2339.75,1500.0,2585.85,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,15400.0,166.0,89.0,115.58441558441558,308.0,43.89,1.1,-0.7999999999999998,-42.105263157894726,42050.0,20550.0,400.0,1.0,250.0,1.2,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,15450.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7850.0,9600.0,3300.0,2325.05,1500.0,2552.25,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,15450.0,77.0,3.0,4.054054054054054,215.0,42.61,1.0,-1.2000000000000002,-54.545454545454554,45600.0,3600.0,2100.0,1.05,350.0,1.45,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,15500.0,2108.0,-62.0,-2.857142857142857,135.0,70.06,2424.5,-241.0999999999999,-9.044867947178869,10800.0,9200.0,400.0,2411.95,400.0,2425.45,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,15500.0,23307.0,5489.0,30.805926591087665,23210.0,42.75,1.2,-0.19999999999999996,-14.285714285714283,917700.0,52000.0,27050.0,1.2,1000.0,1.25,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,15550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9600.0,8100.0,1500.0,2192.9,1800.0,2404.8,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,15550.0,103.0,98.0,1960.0,233.0,41.88,1.25,-5.0,-80.0,58750.0,5650.0,350.0,1.1,150.0,1.35,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,15600.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8450.0,8400.0,150.0,2275.15,300.0,2360.65,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,15600.0,358.0,237.0,195.86776859504133,672.0,41.02,1.25,-0.25,-16.666666666666664,144550.0,28200.0,1800.0,1.25,150.0,1.3,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,15650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9600.0,8100.0,1500.0,2104.8,1800.0,2304.95,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,15650.0,29.0,29.0,0.0,37.0,40.65,1.4,-209.0,-99.33460076045627,39600.0,2350.0,450.0,1.5,150.0,1.65,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,15700.0,16.0,0.0,0.0,1.0,65.06,2225.0,-499.9499999999998,-18.347125635332752,8300.0,6900.0,200.0,2183.85,400.0,2247.35,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,15700.0,539.0,243.0,82.0945945945946,991.0,39.78,1.4,-0.5,-26.31578947368421,110000.0,21000.0,1500.0,1.4,500.0,1.45,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,15750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9600.0,9600.0,1500.0,2009.75,1500.0,2243.8,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,15750.0,51.0,50.0,5000.0,197.0,39.5,1.6,-3.9,-70.9090909090909,44800.0,4850.0,150.0,1.55,200.0,1.65,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,15800.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8300.0,8300.0,200.0,2087.95,200.0,2132.35,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,PE,15800.0,871.0,130.0,17.54385964912281,1710.0,38.48,1.6,0.0,0.0,109100.0,14000.0,1700.0,1.55,100.0,1.6,17874.85
2022-12-23 14:34:00.259728,NIFTY,29-Dec-2022,CE,15850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9600.0,9600.0,1500.0,1912.15,1500.0,2127.1,17874.85
